---𝑘|𝑛=𝑘·𝑛ⱼ·𝑛ᵢ |-----tⱼᵢ------|--------tₜₒₜₐₗ---------|------data e hora (utc)-------|ƒₙ(1/𝑒ᵉ) → 1/𝑒 ≈ 0.36787944117144 

----|----------|------|-------|---------|-------------|1446398661|2015/11/01 17:24:21|
  62|  31000000| 664.0|11:04.0|  41146.0|00 11:25:46.0|1446439807|2015/11/02 04:50:07|0.36804130431706508761175062474081902307349566626604056662722169906895794556926287899636796034421896735282221763552822803033430906901053266103334980924574513540283694417912142627442435372781631626607427916035474009762577903477693141882635915627885337179528355362113080135017425400298631739948280885674629006279081672431391418587515277573158263237405305644226932599837450829360394079912319542899774999519600400097798285619882749545866237566705210395882040330550622833077771016619281558909006215332664332
  63|  31500000| 614.0|10:14.0|  41760.0|00 11:36:00.0|1446440421|2015/11/02 05:00:21|0.36804001441009020068163595563528119520824274337976512645620477502058621271835111029315433442988101742165796991040256343806378195648078941322309813100173388411999855503198645137611837818130737961062810254300127471958260587784055557827537561702437928180242038521790848080942243454204332772189215828452655841336955974157461938588150154486893054877088212171751060433869234809555882772023264170866886266254985298894438070345130757047193436423586777793269120865231312094016087317121110301338821407742007619
  64|  32000000| 607.0|10:07.0|  42367.0|00 11:46:07.0|1446441028|2015/11/02 05:10:28|0.36803875485682566655073460953689125367573106017504072002095573469795279641269176231921472549177950915007332886313788993808351024670526645038745628125698987513607829125112206284626735295132193770192454878809500379364864358154889125331775991772774785328875521173783401835458896760544469040154280517069265337707417508818485337254317691573803883628233790338301623894654628992914635503203432841362921474837860231559121684851990699302868586074515505671459255407736325242035197185151106171757390849227502288
  65|  32500000| 604.0|10:04.0|  42971.0|00 11:56:11.0|1446441632|2015/11/02 05:20:32|0.36803752448520577623576010513439498190347647012805312241586899780331648053362885938065821809596969141729298302480368724601160155373335313249989644774766065954976351825167462507713422375792170518166819659906553236796825153316574354857005827401540326510529991038551336211985154401600690831302284900279081653160920048264050223043646767093450961518651298722972203375277088305428399911213457889944263312218491993880578752207765723837879472021605790273139447353742482893790810318618063930069351204566287356
  66|  33000000| 612.0|10:12.0|  43583.0|00 12:06:23.0|1446442244|2015/11/02 05:30:44|0.36803632218556191607647237055387417884490848969417557345109975785731160246152728917417558919235430283147910008153440660036090648266324602097417592957627832875534528573795637790955797473037759156873719024022621525756182618870891648470815429598339410273755344102284770466568793004874261601040921144062906882175252375573788625149094359858590414631187337202143845947350425759534066105414366981909352872116817162570347558914003303454663165297484220396968906516495325740804593929376033936053656032937758483
  67|  33500000| 615.0|10:15.0|  44198.0|00 12:16:38.0|1446442859|2015/11/02 05:40:59|0.36803514690641562128588686355739795971342195538940632739527904467161463390442815597848245833745211504992853797314454263500890395375008359289112720508172507843925754509390136719113217789988583623706828183736181457455267252443718851551001749560679616232227072591172122221093249841959305825429781144096559966958719448334363455891209251300904929312174439647690926962132939979118078993103771832606177047101335556730165178414962277738555021593190012953140420875600263525068227138420244361864084063177520674
  68|  34000000| 649.0|10:49.0|  44847.0|00 12:27:27.0|1446443508|2015/11/02 05:51:48|0.36803399765061318673437778986337018727443416317109121260229153705293797804647518766360301586670861373056852448985861090776869765329116215116658630411607521624034605952073155108131316804852274741448288093261700436314216466351251098816301080968434885981813045411431882471314639854418310361864451051742384092210301486239525102936046591144876811602892631175510472121515351027647894609077819057567405742696564118311522984694424918298079210365051964862494509376425864324664695428544396687322670666544639658
  69|  34500000| 615.0|10:15.0|  45462.0|00 12:37:42.0|1446444123|2015/11/02 06:02:03|0.36803287347176953892880199833552845502890077909936790928862188864717910288831394427836136303147951778090969280600936135739197011435043733607147941832257300689040743283174610748987176919449554963466122266267505425537554107690941610961908034911635514980587481130678084866347462819741561914241634395263446188777236097010354213368886521589745673006946859696841912606316885226975397264420666247448035705971535070748020901738903235055386656793454352426466551522943681573344827820190502535735351192283274285
  70|  35000000| 613.0|10:13.0|  46075.0|00 12:47:55.0|1446444736|2015/11/02 06:12:16|0.36803177347099254621794206836626110458605482282363058382906628595097842921899780602796558933061237567787424700189458213347161509768409952350250820001150401789898345867826143434271732448641330814875579996273718785085644484703636217615240414503158684483874044204886675762894854494500343260653679995169903105315983054834020912295512180689534191783615615415142134662669353332657326500398786736399007465272788230726762484598122434684183818799388454632303566384157212719465277802607863939214386465539827303
  71|  35500000| 702.0|11:42.0|  46777.0|00 12:59:37.0|1446445438|2015/11/02 06:23:58|0.36803069679386200001893004404405812926028840630910212742100805872039551130612624839472641874693258599051519785561455656512894951943764183430750789738066849660574231849014848831983569923483907041632746171116346466744588189412438191137186775193295106126710141751627556749527622973199695358107351844653142088676121899522520302740678956665612435480873189043307465994266003835756552709459759632224654827460345161211379526648972065722593884790544070966199806184894917280760185358126955833866314935149389703
  72|  36000000| 601.0|10:01.0|  47378.0|00 13:09:38.0|1446446039|2015/11/02 06:33:59|0.36802964262764019357560186087500749384196501147148392938810813671966566895642436121796451914883464226153241473139991687489586928605973813311292616325399623392897333211439377454228372549669895043609285696721710571005991453933653233158976603025906529040682029480397898202095445163851921855663114579549907717753864996670863510459841328189584832716393779694410954663976722349243682556666786035686577050099067171484431219293101748950612515932953465895541012110560149096725349342618158467237557930870363924
  73|  36500000| 593.0|09:53.0|  47971.0|00 13:19:31.0|1446446632|2015/11/02 06:43:52|0.3680286101986934037120615388581894417026868927222847406686781831059587219990919034067319161596299650914791389025788569790690723017341494363650305617012738453086915839580164084926790241619737849140722066555434396083477061366369702694750453494127581117765088637289379358091336867033681912358811142228850269144583924628387850614729565359428590941283822934413935319764891513123755394716618974235717219540703508675006275155916588281604578531216480328890346327309717811329950573771261015505170981930509532
  74|  37000000| 593.0|09:53.0|  48564.0|00 13:29:24.0|1446447225|2015/11/02 06:53:45|0.36802759877010568578357072865775785153922598800209357798326230688057609646176965163610269791504960204784829693772093446032607852533877498375753403736824251615929515824003121782351636180986181645326571375842111139008525082766733136806687268451637888377242164430589187684045445907649101842343727917254257311309838228088078448754842889524856130504115822314190289221186770313410215607715650402379353139374412002754704024189804197218155159989995047630758388160777337169352380606124817135093539171794639663
  75|  37500000| 591.0|09:51.0|  49155.0|00 13:39:15.0|1446447816|2015/11/02 07:03:36|0.36802660763946825740596474148659199931928538315727175586906082392447254734121266709725790563038899892327587765970674359558797411565843470141143972647595419622766541403594285131054051051695944816046319983432073711707251483871990356469341309283510794118136262763358039496476918095285074761452158879704731595104677446912446874118009244826815612468722788041035020557416780357269912513999125243251777068763952057744687870801719255275359433117010091524608554091373209476523922314243628171763729099002906729
  76|  38000000| 589.0|09:49.0|  49744.0|00 13:49:04.0|1446448405|2015/11/02 07:13:25|0.36802563613682940258610248172065993786760014874850160038765071900867559476899107936548883630073539516925378876216502058427757507563556468412993719050763575453164922210688895274946905501015265061076768618054854475387243850342390053827850822892031224875769647869771926622324283967234063654562328023071287835240130327189541350065732191398736451640725812433188414971342883063194704703681145290760586596665674729127909052173246264820988064119142689144654926493558436321424427322057200198289097965607188065
  77|  38500000| 588.0|09:48.0|  50332.0|00 13:58:52.0|1446448993|2015/11/02 07:23:13|0.36802468362279130049365207557648684136552258750531594701240903343124754896643377801941531194591608787952926222047667432559015300875304174845959535588119385670672522589981329949213568574468643316399442942520544461628216312975928090451911878768406078570753453216178897867468359611512390907760019437093445047638854509518061616848795104113321456583525443245061407660258590477121087905442423540282800578451682893059526685355992935442209692136711162360759903644319223134178980496749249579151778770729082877
